School Year,Division Number,Division Name,School Number,School Name,Total Count
2021-2022,1,Accomack County ,701,Accawmacke Elementary,              51
2021-2022,1,Accomack County ,540,Arcadia High,              86
2021-2022,1,Accomack County ,704,Arcadia Middle ,              91
2021-2022,1,Accomack County ,80,Chincoteague Elementary,              34
2021-2022,1,Accomack County ,580,Chincoteague High,              36
2021-2022,1,Accomack County ,600,Kegotank Elementary,              83
2021-2022,1,Accomack County ,702,Metompkin Elementary,              69
2021-2022,1,Accomack County ,70,Nandua High,             108
2021-2022,1,Accomack County ,703,Nandua Middle,              64
2021-2022,1,Accomack County ,590,Pungoteague Elementary,              68
2021-2022,1,Accomack County ,530,Tangier Combined,<
2021-2022,2,Albemarle County ,160,Agnor-Hurt Elementary,              60
2021-2022,2,Albemarle County ,880,Albemarle High,             224
2021-2022,2,Albemarle County ,1053,Baker-Butler Elem,              96
2021-2022,2,Albemarle County ,100,Broadus Wood Elementary,              41
2021-2022,2,Albemarle County ,941,Brownsville Elementary,              78
2021-2022,2,Albemarle County ,890,Community Lab School,              38
2021-2022,2,Albemarle County ,340,Crozet Elementary,              41
2021-2022,2,Albemarle County ,10,Hollymead Elementary,              58
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,             113
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,              90
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,              89
2021-2022,2,Albemarle County ,1051,Lakeside Middle,              51
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,              60
2021-2022,2,Albemarle County ,40,Mary Carr Greer Elementary,              72
2021-2022,2,Albemarle County ,250,Meriwether Lewis Elementary,              38
2021-2022,2,Albemarle County ,1052,Monticello High,             178
2021-2022,2,Albemarle County ,150,Mountain View Elementary,              95
2021-2022,2,Albemarle County ,540,Red Hill Elementary,              34
2021-2022,2,Albemarle County ,30,Scottsville Elementary,              34
2021-2022,2,Albemarle County ,920,Stone Robinson Elementary,              85
2021-2022,2,Albemarle County ,240,Stony Point Elementary,              20
2021-2022,2,Albemarle County ,910,Virginia L. Murray Elementary,              32
2021-2022,2,Albemarle County ,140,Western Albemarle High,             134
2021-2022,2,Albemarle County ,930,Woodbrook Elementary,              71
2021-2022,101,Alexandria City ,210,Alexandria City High,             438
2021-2022,101,Alexandria City ,120,Charles Barrett Elementary,              90
2021-2022,101,Alexandria City ,160,Cora Kelly School for Math Science and Technology,              51
2021-2022,101,Alexandria City ,110,Douglas Macarthur Elementary,              56
2021-2022,101,Alexandria City ,360,Early Childhood Center,              59
2021-2022,101,Alexandria City ,350,Ferdinand T. Day Elementary,              48
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,             145
2021-2022,101,Alexandria City ,100,George Mason Elementary,              34
2021-2022,101,Alexandria City ,130,George Washington Middle,             173
2021-2022,101,Alexandria City ,220,James K. Polk Elementary,              66
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,             115
2021-2022,101,Alexandria City ,230,John Adams Elementary,              72
2021-2022,101,Alexandria City ,80,Lyles-Crouch Elementary,              39
2021-2022,101,Alexandria City ,30,Mount Vernon Elementary,              68
2021-2022,101,Alexandria City ,60,Naomi L. Brooks Elementary,              39
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,              80
2021-2022,101,Alexandria City ,333,Samuel W. Tucker Elementary,              53
2021-2022,101,Alexandria City ,190,William Ramsay Elementary,              65
2021-2022,3,Alleghany County ,310,Alleghany High,              90
2021-2022,3,Alleghany County ,110,Callaghan Elementary,              23
2021-2022,3,Alleghany County ,1040,Clifton Middle,              62
2021-2022,3,Alleghany County ,1041,Mountain View Elementary,              81
2021-2022,3,Alleghany County ,90,Sharon Elementary,              26
2021-2022,4,Amelia County ,220,Amelia County Elementary,              87
2021-2022,4,Amelia County ,10,Amelia County High,              69
2021-2022,4,Amelia County ,210,Amelia County Middle,              44
2021-2022,5,Amherst County ,780,Amelon Elementary,              66
2021-2022,5,Amherst County ,750,Amherst County High,             150
2021-2022,5,Amherst County ,790,Amherst Elementary,              35
2021-2022,5,Amherst County ,670,Amherst Middle,              49
2021-2022,5,Amherst County ,770,Central Elementary,              75
2021-2022,5,Amherst County ,760,Elon Elementary,              50
2021-2022,5,Amherst County ,500,Madison Heights Elementary,              56
2021-2022,5,Amherst County ,20,Monelison Middle,              74
2021-2022,5,Amherst County ,740,Temperance Elementary,              11
2021-2022,6,Appomattox County ,260,Appomattox County High,              75
2021-2022,6,Appomattox County ,110,Appomattox Elementary,              56
2021-2022,6,Appomattox County ,160,Appomattox Middle,              57
2021-2022,6,Appomattox County ,250,Appomattox Primary,              84
2021-2022,7,Arlington County ,350,Abingdon Elementary,              87
2021-2022,7,Arlington County ,160,Alice West Fleet Elementary,              80
2021-2022,7,Arlington County ,618,Arlington Community High,<
2021-2022,7,Arlington County ,629,Arlington Science Focus School,              48
2021-2022,7,Arlington County ,470,Arlington Traditional,              55
2021-2022,7,Arlington County ,490,Ashlawn Elementary,              69
2021-2022,7,Arlington County ,150,Barcroft Elementary,              63
2021-2022,7,Arlington County ,250,Barrett Elementary,             113
2021-2022,7,Arlington County ,615,Campbell Elementary,              62
2021-2022,7,Arlington County ,380,Cardinal Elementary,              58
2021-2022,7,Arlington County ,90,Carlin Springs Elementary,              85
2021-2022,7,Arlington County ,622,Claremont Immersion,              66
2021-2022,7,Arlington County ,626,Discovery Elementary,              74
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,             130
2021-2022,7,Arlington County ,200,Dr. Charles R. Drew Elementary,             102
2021-2022,7,Arlington County ,111,Escuela Key Elementary,              52
2021-2022,7,Arlington County ,100,Glebe Elementary,              64
2021-2022,7,Arlington County ,611,Gunston Middle,             168
2021-2022,7,Arlington County ,614,Hoffman-Boston Elementary,              82
2021-2022,7,Arlington County ,613,Innovation Elementary ,              35
2021-2022,7,Arlington County ,37,Integration Station,              38
2021-2022,7,Arlington County ,440,Jamestown Elementary,              70
