alias,official_name,locality_type,fips_code
chesapeake city,Chesapeake City,independent_city,51550
chesapeake,Chesapeake City,independent_city,51550
colonial heights city,Colonial Heights City,independent_city,51570
colonial heights,Colonial Heights City,independent_city,51570
covington city,Covington City,independent_city,51580
covington,Covington City,independent_city,51580
danville city,Danville City,independent_city,51590
danville,Danville City,independent_city,51590
emporia city,Emporia City,independent_city,51595
emporia,Emporia City,independent_city,51595
fairfax city,Fairfax City,independent_city,51600
falls church city,Falls Church City,independent_city,51610
falls church,Falls Church City,independent_city,51610
franklin city,Franklin City,independent_city,51620
franklin,Franklin City,independent_city,51620
fredericksburg city,Fredericksburg City,independent_city,51630
fredericksburg,Fredericksburg City,independent_city,51630
galax city,Galax City,independent_city,51640
galax,Galax City,independent_city,51640
hampton city,Hampton City,independent_city,51650
hampton,Hampton City,independent_city,51650
harrisonburg city,Harrisonburg City,independent_city,51660
harrisonburg,Harrisonburg City,independent_city,51660
hopewell city,Hopewell City,independent_city,51670
hopewell,Hopewell City,independent_city,51670
lexington city,Lexington City,independent_city,51678
lexington,Lexington City,independent_city,51678
lynchburg city,Lynchburg City,independent_city,51680
lynchburg,Lynchburg City,independent_city,51680
manassas city,Manassas City,independent_city,51683
manassas,Manassas City,independent_city,51683
manassas park city,Manassas Park City,independent_city,51685
manassas park,Manassas Park City,independent_city,51685
martinsville city,Martinsville City,independent_city,51690
martinsville,Martinsville City,independent_city,51690
newport news city,Newport News City,independent_city,51700
newport news,Newport News City,independent_city,51700
norfolk city,Norfolk City,independent_city,51710
norfolk,Norfolk City,independent_city,51710
norton city,Norton City,independent_city,51720
norton,Norton City,independent_city,51720
petersburg city,Petersburg City,independent_city,51730
petersburg,Petersburg City,independent_city,51730
poquoson city,Poquoson City,independent_city,51735
poquoson,Poquoson City,independent_city,51735
portsmouth city,Portsmouth City,independent_city,51740
portsmouth,Portsmouth City,independent_city,51740
radford city,Radford City,independent_city,51750
radford,Radford City,independent_city,51750
richmond city,Richmond City,independent_city,51760
roanoke city,Roanoke City,independent_city,51770
salem city,Salem City,independent_city,51775
salem,Salem City,independent_city,51775
staunton city,Staunton City,independent_city,51790
staunton,Staunton City,independent_city,51790
suffolk city,Suffolk City,independent_city,51800
suffolk,Suffolk City,independent_city,51800
virginia beach city,Virginia Beach City,independent_city,51810
virginia beach,Virginia Beach City,independent_city,51810
waynesboro city,Waynesboro City,independent_city,51820
waynesboro,Waynesboro City,independent_city,51820
williamsburg city,Williamsburg City,independent_city,51830
williamsburg,Williamsburg City,independent_city,51830
winchester city,Winchester City,independent_city,51840
winchester,Winchester City,independent_city,51840
