School Year,Division Name,fips_code,School Number,School Name,Total Count
2022-2023,Accomack County,51001,701,Accawmacke Elementary,56
2022-2023,Accomack County,51001,540,Arcadia High,107
2022-2023,Accomack County,51001,704,Arcadia Middle,78
2022-2023,Accomack County,51001,80,Chincoteague Elementary,38
2022-2023,Accomack County,51001,580,Chincoteague High,45
2022-2023,Accomack County,51001,600,Kegotank Elementary,86
2022-2023,Accomack County,51001,702,Metompkin Elementary,74
2022-2023,Accomack County,51001,70,Nandua High,96
2022-2023,Accomack County,51001,703,Nandua Middle,71
2022-2023,Accomack County,51001,590,Pungoteague Elementary,76
2022-2023,Accomack County,51001,530,Tangier Combined,<
2022-2023,Albemarle County,51003,160,Agnor-Hurt Elementary,56
2022-2023,Albemarle County,51003,880,Albemarle High,213
2022-2023,Albemarle County,51003,1053,Baker-Butler Elem,104
2022-2023,Albemarle County,51003,100,Broadus Wood Elementary,41
2022-2023,Albemarle County,51003,941,Brownsville Elementary,74
2022-2023,Albemarle County,51003,890,Community Lab School,38
2022-2023,Albemarle County,51003,340,Crozet Elementary,44
2022-2023,Albemarle County,51003,10,Hollymead Elementary,55
2022-2023,Albemarle County,51003,69,Jackson P. Burley Middle,85
2022-2023,Albemarle County,51003,942,Joseph T. Henley Middle,107
2022-2023,Albemarle County,51003,950,Journey Middle,97
2022-2023,Albemarle County,51003,1051,Lakeside Middle,63
2022-2023,Albemarle County,51003,20,Leslie H. Walton Middle,64
2022-2023,Albemarle County,51003,40,Mary Carr Greer Elementary,74
2022-2023,Albemarle County,51003,250,Meriwether Lewis Elementary,36
2022-2023,Albemarle County,51003,1052,Monticello High,183
2022-2023,Albemarle County,51003,150,Mountain View Elementary,100
2022-2023,Albemarle County,51003,540,Red Hill Elementary,39
2022-2023,Albemarle County,51003,30,Scottsville Elementary,33
2022-2023,Albemarle County,51003,920,Stone Robinson Elementary,80
2022-2023,Albemarle County,51003,240,Stony Point Elementary,22
2022-2023,Albemarle County,51003,910,Virginia L. Murray Elementary,29
2022-2023,Albemarle County,51003,140,Western Albemarle High,132
2022-2023,Albemarle County,51003,930,Woodbrook Elementary,71
2022-2023,Alexandria City,51510,210,Alexandria City High School,460
2022-2023,Alexandria City,51510,120,Charles Barrett Elementary,105
2022-2023,Alexandria City,51510,160,Cora Kelly School for Math Science and Technology,61
