OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
404,51650000036442,CarePlex Orthopaedic Ambulatory Surgery Center,3000 Coliseum Drive,Hampton,VA,23666,-,https://www.sentara.com/hospitalslocations/orthopaedic-hospital-at-sentara-careplex,-76.39065491,37.05681248,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51650,Hampton City
405,51067000027852,Carilion Franklin Memorial Hospital,180 Floyd Avenue,Rocky Mount,VA,24151,-,https://www.carilionclinic.org/locations/carilion-franklin-memorial-hospital,-79.89038646,36.9938118,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51067,Franklin County
406,51071000008839,Carilion Giles Community Hospital,159 Hartley Way,Pearisburg,VA,24134,-,https://www.carilionclinic.org/locations/carilion-giles-community-hospital,-80.71310881,37.33311129,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51071,Giles County
407,51121000023512,Carilion New River Valley Medical Center,2900 Lamb Circle,Christiansburg,VA,24073,-,https://www.carilionclinic.org/locations/carilion-new-river-valley-medical-center,-80.50478322,37.08886717,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51121,Montgomery County
408,51770000054815,Carilion Roanoke Community Hospital,101 Elm Ave SE,Roanoke,VA,24013,-,https://www.carilionclinic.org/locations/carilion-roanoke-community-hospital,-79.9398042,37.26636545,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51770,Roanoke City
409,51770000012907,Carilion Roanoke Memorial Hospital,1906 Belleview Ave,Roanoke,VA,24014,-,https://www.carilionclinic.org/locations/carilion-roanoke-memorial-hospital,-79.94240976,37.25171588,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51770,Roanoke City
410,51678000000313,Carilion Rockbridge Community Hospital,1 Health Circle,Lexington,VA,24450,-,https://www.carilionclinic.org/locations/carilion-rockbridge-community-hospital,-79.44107461,37.77866337,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51678,Lexington City
411,51185000021699,Carilion Tazewell Community Hospital,388 Ben Bolt Avenue,Tazewell,VA,24651,-,https://www.carilionclinic.org/locations/carilion-tazewell-community-hospital,-81.48904034,37.12374736,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51185,Tazewell County
412,51087000108442,Cataract and Refractive Surgery Center,2010 Bremo Rd,Richmond,VA,23226,-,https://www.dominioneye.com/location/dominion-eye-surgery-center/,-77.50724687,37.59115527,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51087,Henrico County
413,51550000071589,"Center for Visual Surgical Excellence, LLC",208 Carmichael Way,Chesapeake,VA,23322,-,https://griffey2020.com/location/surgery-center/,-76.23153825,36.66120307,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51550,Chesapeake City
414,51274400002279,Centra Southside Community Hospital,800 Oak Street,Farmville,VA,23901,-,https://www.centrahealth.com/locations/centra-southside-community-hospital,-78.40435375,37.30296686,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,5127440,Farmville Town
415,51550000005303,Chesapeake General Hospital,736 Battlefield Boulevard North,Chesapeake,VA,23320,-,https://chesapeakeregional.com/,-76.2456611,36.74493837,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51550,Chesapeake City
416,51810000164270,"Chesapeake Regional Surgery Center at Virginia Beach, LLC",229 Clearfield Avenue,Virginia Beach,VA,23462,-,https://chesapeakeregional.com/locations/virginia-beach-ambulatory-surgery-center,-76.16647466,36.84510931,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51810,Virginia Beach City
417,51710000047026,Children's Hospital of The King's Daughters - Main Campus,601 Children's Lane,Norfolk,VA,23507,-,https://www.chkd.org/,-76.30185288,36.86188529,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51710,Norfolk City
418,51760000077046,CJW Medical Center - Chippenham Campus,7101 Jahnke Road,Richmond,VA,23225,-,https://www.hcavirginia.com/locations/chippenham-hospital,-77.52573354,37.51445055,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51760,Richmond City
419,51700000070818,Children's Hospital of the King's Daughters Health and Surgery Center,11783 Rock Landing Drive,Newport News,VA,23608,-,https://www.chkd.org/locations/health-centers/health-and-surgery-center-at-oyster-point/,-76.46526342,37.08746136,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51700,Newport News City
420,51810000033086,Children's Hospital of the King's Daughters Health and Surgery Center,2021 Concert Drive,Virginia Beach,VA,23456,-,https://www.chkd.org/locations/health-centers/health-and-surgery-center-at-concert-drive/,-76.10157458,36.77694185,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51810,Virginia Beach City
421,51185000013524,Clinch Valley Medical Center,6801 Gov. G.C. Peery Highway,Richlands,VA,24641,-,https://www.clinchvalleyhealth.com/,-81.81996395,37.09465469,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51185,Tazewell County
422,51570000009715,HCA Virginia - Colonial Heights Surgery Center,"930 South Avenue, Suite 2",Colonial Heights,VA,23834,-,-,-77.38975451,37.24325989,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51570,Colonial Heights City
423,51127000001428,Cumberland Hospital for Children and Adolescents,9407 Cumberland Road,New Kent,VA,23124,-,https://cumberlandhospital.com/,-76.97862627,37.54636413,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51127,New Kent County
424,51710000024121,CVP Surgery Center,200 Coporate Blvd,Norfolk,VA,23502,-,https://www.virginiaeyeconsultants.com/locations/cvp-surgery-center/,-76.21257049,36.83890846,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51710,Norfolk City
425,51051000005906,Dickenson Community Hospital,312 Hospital Drive,Clintwood,VA,24228,-,https://www.balladhealth.org/locations/hospitals/dickenson-community,-82.4489975,37.1607151,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51051,Dickenson County
426,51640000001435,Twin County Regional Hospital,200 Hospital Drive,Galax,VA,24333,-,https://www.tcrh.org/,-80.92395164,36.67064989,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51640,Galax City
427,51059000073449,HCA Virginia - Dominion Hospital,2960 Sleepy Hollow Road,Falls Church,VA,22044,-,-,-77.15859086,38.87017775,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51059,Fairfax County
428,51630000006618,Encompass Health Rehabilitation Hospital of Fredericksburg,300 Park Hill Drive,Fredericksburg,VA,22401,-,https://encompasshealth.com/locations/fredericksburgrehab,-77.48712358,38.31278235,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51630,Fredericksburg City
429,51107000082483,Encompass Health Rehabilitation Hospital of Northern Virginia,24430 Millstream Drive,Aldie,VA,20105,-,https://encompasshealth.com/locations/northernvirginiarehab,-77.55279024,38.93913814,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51107,Loudoun County
430,51730000010810,Encompass Health Rehabilitation Hospital of Petersburg,95 Medical Park Boulevard,Petersburg,VA,23805,-,https://encompasshealth.com/locations/petersburgrehab,-77.36372146,37.18428894,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51730,Petersburg City
431,51087000019888,Encompass Health Rehabilitation Hospital of Richmond,5700 Fitzhugh Avenue,Richmond,VA,23226,-,https://encompasshealth.com/locations/richmondrehab,-77.50649487,37.58612957,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51087,Henrico County
432,51019000031545,Harman Eye LASIK Center,1835 Graves Mill Road,Forest,VA,24551,-,https://www.harmaneye.com/location/harman-eye-lasik-center/,-79.24464092,37.3772881,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51019,Bedford County
433,51600000003655,Fairfax Surgical Center,10730 Main Street,Fairfax,VA,22030,-,-,-77.31538079,38.8497134,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51600,Fairfax City
434,51770000046044,"Fairlawn Surgery Center, LLC",2030 Stephenson Avenue SW,Roanoke,VA,24014,-,-,-79.94996682,37.25139029,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51770,Roanoke City
435,51061000017604,Fauquier Heath - Main Campus,500 Hospital Drive,Warrenton,VA,20186,-,https://www.fauquierhealth.org/,-77.80909541,38.71232023,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51061,Fauquier County
436,51630000002578,"Fredericksburg Ambulatory Surgery Center, LLC","1201 Sam Perry Blvd,  Suite 101",Fredericksburg,VA,22401,-,-,-77.4846464,38.30957265,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51630,Fredericksburg City
437,51153000169290,"Haymarket Surgery Center, LLC","15195 Heathcote Blvd, Ste 210",Haymarket,VA,20169,-,-,-77.64177553,38.82055345,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51153,Prince William County
