County Name,fips_code,State,# per 100K 2020,# per 100K 2021,# per 100K 2022,# per 100K 2023,# per 100K 2024,# per 100K 2025,# per 100K All Years,2020 Positive Severe Depression,2020 Total Depression Responses,2021 Positive Severe Depression,2021 Total Depression Responses,2022 Positive Severe Depression,2022 Total Depression Responses,2023 Positive Severe Depression,2023 Total Depression Responses,2024 Positive Severe Depression,2024 Total Depression Responses,2025 Positive Severe Depression,2025 Total Depression Responses,Positive Severe Depression,Total Depression Responses,Population_2020,Population_2021,Population_2022,Population_2023,Population_2024,Population_2025
Shenandoah,51171,Virginia,31.241631706,37.936267071,37.936267071,22.234080398,11.117040199,17.787264319,26.310328471,14,42,17,48,17,56,10,35,5,25,8,19,71,225,44812,44812,44812,44976,44976,44976
Rockbridge,51163,Virginia,26.95272492,32.343269905,51.210177349,35.138933939,21.623959347,21.623959347,31.534940714,10,29,12,43,19,42,13,36,8,24,8,19,70,193,37102,37102,37102,36996,36996,36996
Warren,51187,Virginia,27.396577918,19.924783941,42.340165874,29.422581832,34.32634547,26.970700011999998,29.831228801,11,32,8,42,17,58,12,33,14,31,11,21,73,217,40151,40151,40151,40785,40785,40785
Portsmouth,51740,Virginia,34.888254972,40.018880703,42.071130995,41.07450916,24.644705496,11.295490019,32.346175963,34,96,39,129,41,125,40,99,24,72,11,39,189,560,97454,97454,97454,97384,97384,97384
Pittsylvania,51143,Virginia,22.873964456,27.846565425,35.802726974,23.974347448,29.96793431,10.98824258,25.30625564,23,63,28,87,36,105,24,77,30,82,11,37,152,451,100551,100551,100551,100107,100107,100107
James City,51095,Virginia,25.803492073,34.404656097,25.803492073,32.802556725,18.744318129,11.246590877,24.523816218,27,83,36,109,27,126,35,105,20,86,12,47,157,556,104637,104637,104637,106699,106699,106699
Henry,51089,Virginia,26.427837322,39.641755983,39.641755983,23.482102235,13.208682507,20.546839456,27.151180709,18,52,27,75,27,70,16,48,9,36,14,36,111,317,68110,68110,68110,68137,68137,68137
Prince George,51149,Virginia,29.762642923,27.282422679,32.242863166,25.960860912,22.252166496,17.307240608,25.754822333,24,58,22,70,26,69,21,54,18,54,14,38,125,343,80638,80638,80638,80891,80891,80891
Montgomery,51121,Virginia,32.440871443,40.551089304,55.757747793,35.490118537,25.350084669,16.224054188,34.307114586,32,125,40,133,55,167,35,124,25,84,16,51,203,684,98641,98641,98641,98619,98619,98619
Wise,51195,Virginia,53.123917311,76.221272664,83.15047927,77.555816686,56.404230317,39.952996475,65.021543282,23,59,33,65,36,85,33,62,24,48,17,24,166,343,43295,43295,43295,42550,42550,42550
Pulaski,51155,Virginia,41.689827682,59.556896689,53.60120702,29.481711512,35.378053814,35.378053814,42.257119833,21,47,30,89,27,67,15,52,18,37,18,35,129,327,50372,50372,50372,50879,50879,50879
Newport News,51700,Virginia,36.181375105,40.970086516,43.098402699,29.796585099,23.411602577,10.109555658,30.594707914,68,178,77,232,81,242,56,157,44,125,19,60,345,994,187942,187942,187942,187941,187941,187941
Rockingham,51165,Virginia,22.881850747,44.185642822,37.084378797,29.060862872,21.992004336,17.279431978,28.668148509,29,104,56,182,47,171,37,123,28,95,22,77,219,752,126738,126738,126738,127319,127319,127319
Richmond City,51760,Virginia,NA,NA,NA,28.575139629,24.678529679,14.937004806,31.714075421,50,171,67,223,71,232,44,148,38,140,23,74,293,988,NA,NA,NA,153980,153980,153980
Suffolk,51800,Virginia,22.583316306,37.63886051,49.468216671,43.352295557,32.778564933,26.434326559,35.069539902,21,86,35,119,46,139,41,107,31,100,25,53,199,604,92989,92989,92989,94574,94574,94574
Hanover,51085,Virginia,37.677961084,32.295395215,34.986678149,19.287044427,31.923383879,17.956903432,28.819721557,56,164,48,184,52,176,29,146,48,121,27,94,260,885,148628,148628,148628,150360,150360,150360
Roanoke,51161,Virginia,30.663704081,34.43769843,43.400935007,25.504179852,22.67038209,14.641288433,28.574127426,65,199,73,236,92,320,54,169,48,150,31,94,363,1168,211977,211977,211977,211730,211730,211730
Hampton,51650,Virginia,32.469875171,44.736272458,49.065589148,30.22430754,35.261692129,23.02804384,35.741443043,45,154,62,204,68,222,42,148,49,152,32,89,298,969,138590,138590,138590,138961,138961,138961
Norfolk,51710,Virginia,35.631046798,34.792669227,44.853200087,27.851274196,24.475362172,13.503648095,30.312876713,85,245,83,257,107,326,66,211,58,154,32,98,431,1291,238556,238556,238556,236973,236973,236973
Spotsylvania,51177,Virginia,35.457247612,45.26457142,49.791028562,53.072296261,33.170185163,24.324802453,39.681369658,47,149,60,182,66,200,72,176,45,126,33,110,323,943,132554,132554,132554,135664,135664,135664
Stafford,51179,Virginia,47.507720005,40.006501056,51.883431058,47.090193009,37.305217838,20.793072238,40.261095754,76,218,64,203,83,244,77,197,61,175,34,113,395,1150,159974,159974,159974,163516,163516,163516
Henrico,51087,Virginia,31.356090619,35.275601946,36.481605432,28.185230939,18.590258704,10.194657999,26.5860689,104,329,117,370,121,390,94,304,62,253,34,127,532,1773,331674,331674,331674,333508,333508,333508
Loudoun,51107,Virginia,28.173187383,31.573399654,30.359038129,28.629847093,18.370818551,13.837759428,24.8920615,116,446,130,446,125,509,120,391,77,326,58,197,626,2315,411739,411739,411739,419143,419143,419143
Prince William,51153,Virginia,30.918058844,37.558178864,41.500750126,26.53016315,25.090541894,13.367911665,28.998085304,149,481,181,581,200,593,129,419,122,410,65,216,846,2700,481919,481919,481919,486239,486239,486239
Virginia Beach,51810,Virginia,34.086588675,42.826739618,44.574769806,38.873116401,26.86176021,22.930770911,35.0149232,156,504,196,598,204,715,178,549,123,409,105,308,962,3083,457658,457658,457658,457900,457900,457900
