year,GEOID,NAME,total_malesE,total_malesM,male_insuredE,male_insuredM,male_uninsuredE,male_uninsuredM,total_femalesE,total_femalesM,female_insuredE,female_insuredM,female_uninsuredE,female_uninsuredM,pct_male_insured,pct_female_insured,total_pop,total_insured,pct_pop_insured
2020,51105,"Lee County, Virginia",1756,251,1651,239,105,66,1558,102,1458,91,100,62,94.02050113895216,93.58151476251605,3314,3109,93.81412190706095
2020,51107,"Loudoun County, Virginia",43230,484,41418,594,1812,372,41693,617,40044,691,1649,352,95.80846634281748,96.04489962343798,84923,81462,95.92454340991252
2020,51109,"Louisa County, Virginia",2542,148,2386,159,156,88,2789,131,2620,152,169,106,93.86309992132179,93.94048045894586,5331,5006,93.90358281748264
2020,51111,"Lunenburg County, Virginia",843,110,807,112,36,30,875,113,833,121,42,53,95.72953736654804,95.19999999999999,1718,1640,95.45983701979046
2020,51113,"Madison County, Virginia",973,152,944,148,29,44,1031,172,999,188,32,52,97.01952723535457,96.89621726479146,2004,1943,96.9560878243513
2020,51115,"Mathews County, Virginia",667,204,608,155,59,76,380,102,380,102,0,18,91.1544227886057,100,1047,988,94.36485195797518
2020,51117,"Mecklenburg County, Virginia",2155,102,2026,120,129,57,2153,121,2059,127,94,57,94.0139211136891,95.63399907106364,4308,4085,94.82358402971217
2020,51119,"Middlesex County, Virginia",812,101,795,104,17,27,523,106,523,106,0,20,97.9064039408867,100,1335,1318,98.72659176029963
2020,51121,"Montgomery County, Virginia",8439,473,8286,442,153,121,7448,349,7256,363,192,113,98.18698897973694,97.42212674543501,15887,15542,97.828413167999
2020,51125,"Nelson County, Virginia",1060,117,977,117,83,78,876,82,843,90,33,37,92.16981132075472,96.23287671232876,1936,1820,94.00826446280992
2020,51127,"New Kent County, Virginia",1746,141,1676,154,70,107,1524,159,1514,155,10,16,95.99083619702176,99.34383202099738,3270,3190,97.55351681957187
2020,51131,"Northampton County, Virginia",882,91,848,90,34,36,788,71,743,85,45,36,96.14512471655328,94.28934010152284,1670,1591,95.26946107784431
2020,51133,"Northumberland County, Virginia",599,139,506,136,93,122,762,86,710,113,52,67,84.47412353923205,93.1758530183727,1361,1216,89.3460690668626
2020,51135,"Nottoway County, Virginia",1084,127,903,151,181,103,978,119,929,127,49,46,83.30258302583026,94.98977505112475,2062,1832,88.84578079534433
