"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"35","Children's Hospital of The King's Daughters - Main Campus","601 Children's Lane","Norfolk","23507",-76.30185288,36.86188529,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"36","CJW Medical Center - Chippenham Campus","7101 Jahnke Road","Richmond","23225",-77.52573354,37.51445055,"2025/11/13 00:00:00+00","Inpatient Hospital",51760,"Richmond City"
"37","Children's Hospital of the King's Daughters Health and Surgery Center","11783 Rock Landing Drive","Newport News","23608",-76.46526342,37.08746136,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51700,"Newport News City"
"38","Children's Hospital of the King's Daughters Health and Surgery Center","2021 Concert Drive","Virginia Beach","23456",-76.10157458,36.77694185,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"39","Clinch Valley Medical Center","6801 Gov. G.C. Peery Highway","Richlands","24641",-81.81996395,37.09465469,"2025/11/13 00:00:00+00","Inpatient Hospital",51185,"Tazewell County"
"40","HCA Virginia - Colonial Heights Surgery Center","930 South Avenue, Suite 2","Colonial Heights","23834",-77.38975451,37.24325989,"2025/11/13 00:00:00+00","-",51570,"Colonial Heights City"
"41","Cumberland Hospital for Children and Adolescents","9407 Cumberland Road","New Kent","23124",-76.97862627,37.54636413,"2025/11/13 00:00:00+00","Inpatient Hospital",51127,"New Kent County"
"42","CVP Surgery Center","200 Coporate Blvd","Norfolk","23502",-76.21257049,36.83890846,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51710,"Norfolk City"
"43","Dickenson Community Hospital","312 Hospital Drive","Clintwood","24228",-82.4489975,37.1607151,"2025/11/13 00:00:00+00","Inpatient Hospital",51051,"Dickenson County"
"44","Twin County Regional Hospital","200 Hospital Drive","Galax","24333",-80.92395164,36.67064989,"2025/11/13 00:00:00+00","Inpatient Hospital",51640,"Galax City"
"45","HCA Virginia - Dominion Hospital","2960 Sleepy Hollow Road","Falls Church","22044",-77.15859086,38.87017775,"2025/11/13 00:00:00+00","-",51059,"Fairfax County"
"46","Encompass Health Rehabilitation Hospital of Fredericksburg","300 Park Hill Drive","Fredericksburg","22401",-77.48712358,38.31278235,"2025/11/13 00:00:00+00","Inpatient Hospital",51630,"Fredericksburg City"
"47","Encompass Health Rehabilitation Hospital of Northern Virginia","24430 Millstream Drive","Aldie","20105",-77.55279024,38.93913814,"2025/11/13 00:00:00+00","Inpatient Hospital",51107,"Loudoun County"
"48","Encompass Health Rehabilitation Hospital of Petersburg","95 Medical Park Boulevard","Petersburg","23805",-77.36372146,37.18428894,"2025/11/13 00:00:00+00","Inpatient Hospital",51730,"Petersburg City"
"49","Encompass Health Rehabilitation Hospital of Richmond","5700 Fitzhugh Avenue","Richmond","23226",-77.50649487,37.58612957,"2025/11/13 00:00:00+00","Inpatient Hospital",51087,"Henrico County"
"50","Harman Eye LASIK Center","1835 Graves Mill Road","Forest","24551",-79.24464092,37.3772881,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51019,"Bedford County"
"51","Fairfax Surgical Center","10730 Main Street","Fairfax","22030",-77.31538079,38.8497134,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51600,"Fairfax City"
"52","Fairlawn Surgery Center, LLC","2030 Stephenson Avenue SW","Roanoke","24014",-79.94996682,37.25139029,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51770,"Roanoke City"
"53","Fauquier Heath - Main Campus","500 Hospital Drive","Warrenton","20186",-77.80909541,38.71232023,"2025/11/13 00:00:00+00","Inpatient Hospital",51061,"Fauquier County"
"54","Fredericksburg Ambulatory Surgery Center, LLC","1201 Sam Perry Blvd,  Suite 101","Fredericksburg","22401",-77.4846464,38.30957265,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51630,"Fredericksburg City"
"55","Haymarket Surgery Center, LLC","15195 Heathcote Blvd, Ste 210","Haymarket","20169",-77.64177553,38.82055345,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51153,"Prince William County"
"56","Healthqare Services ASC","1005 N Glebe Road, Suite 200","Arlington","22201",-77.11568742,38.88316693,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51013,"Arlington County"
"57","Parham Doctors' Hospital - A Campus of Henrico Doctors' Hospital","7700 East Parham Road","Richmond","23294",-77.52581948,37.63138187,"2025/11/13 00:00:00+00","Inpatient Hospital",51087,"Henrico County"
"58","Retreat Doctors' Hospital - A Campus of Henrico Doctors' Hospital","2621 Grove Avenue","Richmond","23220",-77.47272406,37.55415673,"2025/11/13 00:00:00+00","Inpatient Hospital",51760,"Richmond City"
"59","Henrico Doctors' Hospital","1602 Skipwith Road","Richmond","23229",-77.53913439,37.60450002,"2025/11/13 00:00:00+00","Inpatient Hospital",51087,"Henrico County"
