"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"148","Surgi-Center of Central Virginia","1500 Dixon Street Suite 101","Fredericksburg","22401",-77.45420751,38.28438767,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51630,"Fredericksburg City"
"149","Surgical Suites of Coastal Virginia","400 Sentara Circle, Suite 200","Williamsburg","23188",-76.74151998,37.33737271,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51199,"York County"
"150","The Pavilion at Williamsburg Place","5483 Mooretown Road","Williamsburg","23188",-76.73192186,37.3148169,"2025/11/13 00:00:00+00","-",51095,"James City County"
"151","TriCities Hospital","411 W. Randolph Road","Hopewell","23860",-77.2911832,37.30779879,"2025/11/13 00:00:00+00","Inpatient Hospital",51670,"Hopewell City"
"152","UVA Health - University of Virginia Medical Center","1215 Lee Street","Charlottesville","22903",-78.49830957,38.0311633,"2025/11/13 00:00:00+00","-",51540,"Charlottesville City"
"153","Urosurgical Center of Richmond","9101 Stony Point Drive","Richmond","23235",-77.56795533,37.54863758,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51760,"Richmond City"
"154","UVA Health Culpeper Medical Center","501 Sunset Lane","Culpeper","22701",-78.01297538,38.45516145,"2025/11/13 00:00:00+00","Inpatient Hospital",5120752,"Culpeper Town"
"155","UVA Encompass Health Rehabilitation Hospital","515 Ray C. Hunt Drive","Charlottesville","22903",-78.52562165,38.02446675,"2025/11/13 00:00:00+00","Inpatient Hospital",51003,"Albemarle County"
"156","UVA Health Haymarket Medical Center","15225 Healthcote Blvd","Haymarket","20169",-77.64259101,38.82081353,"2025/11/13 00:00:00+00","Inpatient Hospital",51153,"Prince William County"
"157","UVA Health - Prince William Medical Center","8700 Sudley Road","Manassas","20110",-77.48831472,38.76738416,"2025/11/13 00:00:00+00","-",51683,"Manassas City"
"158","UVA Health Surgical Care Riverside","2331 Seminole Lane, Suite 201","Charlottesville","22901",-78.46034013,38.09956434,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51003,"Albemarle County"
"159","Valley Health Page Memorial Hospital","200 Memorial Drive","Luray","22835",-78.46824346,38.66329635,"2025/11/13 00:00:00+00","Inpatient Hospital",51139,"Page County"
"160","Shenandoah Memorial Hospital","759 South Main Street","Woodstock","22664",-78.5127891,38.87065239,"2025/11/13 00:00:00+00","Inpatient Hospital",51171,"Shenandoah County"
"161","Valley Health Surgery Center, LLC","174 Botanical Blvd","Winchester","22603",-78.20129755,39.19296927,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51069,"Frederick County"
"162","Warren Memorial Hospital","351 Valley Health Way","Front Royal","22630",-78.15330301,38.91997612,"2025/11/13 00:00:00+00","Inpatient Hospital",51187,"Warren County"
"163","Winchester Medical Center","1840 Amherst Street","Winchester","22601",-78.19307304,39.19394521,"2025/11/13 00:00:00+00","Inpatient Hospital",51840,"Winchester City"
"164","Community Memorial Hospital","1755 North Mecklenburg Avenue","South Hill","23970",-78.10559499,36.7502846,"2025/11/13 00:00:00+00","Inpatient Hospital",51117,"Mecklenburg County"
"165","VCU Health Ambulatory Surgery Center, LLC","11958 West Broad Street, 5th Floor","Henrico","23233",-77.62602749,37.65748746,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"166","VCU Health Tappahannock Hospital","618 Hospital Road","Tappahannock","22560",-76.87888512,37.90130268,"2025/11/13 00:00:00+00","Inpatient Hospital",51057,"Essex County"
"167","VCU Health System Authority a.k.a. VCU Medical Center","1250 East Marshall Street","Richmond","23298",-77.42937642,37.54000083,"2025/11/13 00:00:00+00","Inpatient Hospital",51760,"Richmond City"
"168","Centra Virginia Baptist Hospital","3300 Rivermont Avenue","Lynchburg","24503",-79.18775099,37.4384426,"2025/11/13 00:00:00+00","Inpatient Hospital",51680,"Lynchburg City"
"169","Planned Parenthood Virginia Beach Health Center","201 N. Hamilton St.","Richmond","23221",-77.49040748,37.55956441,"2025/11/13 00:00:00+00","-",51760,"Richmond City"
"170","Virginia Beach Psychiatric Center","1100 First Colonial Road","Virginia Beach","23454",-76.02807879,36.86632973,"2025/11/13 00:00:00+00","-",51810,"Virginia Beach City"
"171","Virginia Center for Eye Surgery","1200 First Colonial Road,  Suite 104","Virginia Beach","23454",-76.03139736,36.86950772,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"172","Virginia Eye Institute Surgery Pavilion","402 Westhampton Station","Richmond","23226",-77.54010854,37.56655732,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"173","VHC Health - Main Hospital","1701 N. George Mason Drive","Arlington","22205",-77.12816856,38.88960239,"2025/11/13 00:00:00+00","Inpatient Hospital",51013,"Arlington County"
"174","Lonesome Pine Hospital","1990 Holton Avenue E","Big Stone Gap","24219",-82.75439429,36.87716208,"2025/11/13 00:00:00+00","Inpatient Hospital",51195,"Wise County"
"175","Winchester Eye Surgery Center, LLC","525 Amherst Street","Winchester","22601",-78.17510634,39.18664921,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51840,"Winchester City"
"176","Wythe County Community Hospital","600 West Ridge Road","Wytheville","24382",-81.09721157,36.95454439,"2025/11/13 00:00:00+00","Inpatient Hospital",51197,"Wythe County"
"177","Veterans Affairs - Richmond Medical Center","1201 Broad Rock Blvd","Richmond","23249-4915",-77.46878,37.4977634,"2025/11/13 00:00:00+00","-",51760,"Richmond City"
"178","Veterans Affairs - Hampton Medical Center","100 Emancipation Drive","Hampton","23667-0001",-76.33226847,37.01852741,"2025/11/13 00:00:00+00","-",51650,"Hampton City"
"179","Veterans Affairs - Salem Medical Center","1970 Roanoke Boulevard","Salem","24153-6404",-80.01988935,37.27452675,"2025/11/13 00:00:00+00","-",51775,"Salem City"
"180","Veterans Affairs - Bristol Clinic","3130 Lee Highway, Preston Square, Suite 201","Bristol","24202-5943",-82.15006848,36.62930885,"2025/11/13 00:00:00+00","-",51520,"Bristol City"
"181","Veterans Affairs - Winchester Clinic","100 Dawson Drive","Winchester","22602-5307",-78.20206376,39.13031573,"2025/11/13 00:00:00+00","-",51069,"Frederick County"
"182","Centra - Gretna Medical Center","291 McBride Lane","Gretna","24557",-79.37647987,36.94998449,"2025/11/13 00:00:00+00","-",51143,"Pittsylvania County"
"183","Centra - Danville Medical Center","414 Park Avenue","Danville","24541",-79.4320563,36.58414962,"2025/11/13 00:00:00+00","-",51590,"Danville City"
"184","Carilion - Children's Hospital","1906 Belleview Ave","Roanoke","24014",-79.94240976,37.25171588,"2025/11/13 00:00:00+00","-",51770,"Roanoke City"
"185","Bon Secours Harbour View Medical Center","1020 Bon Secours Dr","Suffolk","23435",-76.44186242,36.86907205,"2025/11/13 00:00:00+00","Inpatient Hospital",51800,"Suffolk City"
"186","HCA Virginia - Parham Hospital Mental Health and Wellness Center","7702 East Parham Road","Richmond","23294",-77.52671856,37.6315554,"2025/11/13 00:00:00+00","-",51087,"Henrico County"
"187","Inova - L.J. Murphy Children's Hospital","3300/3304 Gallows Road","Falls Church","22042",-77.22659242,38.85737413,"2025/11/13 00:00:00+00","-",51059,"Fairfax County"
"188","Sentara Leigh Hospital","830 Kempsville Road","Norfolk","23502",-76.18998667,36.85011591,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"189","Adler Center for Caring on the Van Metre Campus","24419 Millstream Drive","Aldie","20105",-77.55249639,38.9378843,"2025/11/13 00:00:00+00","Inpatient Hospital",51107,"Loudoun County"
"190","Centra Specialty Hospital","3300 Rivermont Avenue","Lynchburg","24503",-79.18775099,37.4384426,"2025/11/13 00:00:00+00","Inpatient Hospital",51680,"Lynchburg City"
"191","Lynn House of Potomac Valley, Inc.","4400 West Braddock Road","Alexandria","22304",-77.10475298,38.82890457,"2025/11/13 00:00:00+00","Inpatient Hospital",51510,"Alexandria City"
"192","Riverside Smithfield Hospital","19339 Benns Grant Boulevard","Smithfield","23430",-76.58929542,36.93613834,"2025/11/13 00:00:00+00","Inpatient Hospital",51093,"Isle of Wight County"
"193","Stuart Community Hospital","18688 Jeb Stuart Hwy","Stuart","24171",-80.25467943,36.64613478,"2025/11/13 00:00:00+00","Inpatient Hospital",51141,"Patrick County"
"194","Valley Health - Mary Free Bed Rehabilitation Hospital","525 Amherst Street","Winchester","22601",-78.17222084,39.18308106,"2025/11/13 00:00:00+00","Inpatient Hospital",51840,"Winchester City"
"195","Accenture Smoke Test OSH DBA","8765 Richmond Hwy
","Alexandria","22309",-77.12699101,38.71914661,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"196","Coastal Virginia Surgery Center","580 City Ctr Blvd","Newport News","23606",-76.48660983,37.08652428,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51700,"Newport News City"
"197","Colon and Rectal Endoscopy and Surgery Center, LLC","7504 Right Flank Road","Mechanicsville","23116",-77.35303294,37.63614241,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51085,"Hanover County"
"198","Virginia League for Planned Parenthood: Virginia Beach Health Center","515 Newtown Road","Virginia Beach","23462",-76.17748343,36.85719148,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"199","Virginia ENT Surgery Center, Inc.","6600 West Broad Street, Suite 210","Richmond","23230",-77.51319866,37.60125838,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"200","Virginia Cardiac Surgery Center","8160 Pleasant Grove Road, Suite 100","Mechanicsville","23116",-77.37962164,37.63024211,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51085,"Hanover County"
"201","edin Surgery Center","8180 Greensboro Dr","McLean","22102",-77.22763925,38.92365249,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"202","Hartland Surgical Center","2710 Prosperity Avenue","Fairfax","22031",-77.22214749,38.87816795,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"203","Inova Oakville Ambulatory Surgery Center, LLC","400 Fannon St level 2","Alexandria","22301",-77.05137342,38.82787208,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51510,"Alexandria City"
"204","McLean Tysons Orthopedic Surgery Center","1760 Old Meadow Road, Suite 100","McLean","22102",-77.21262166,38.92028917,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"205","Nothern Virginia Heart & Vascular Center, LLC","13580 Groupe Dr","Woodbridge","22192",-77.29606467,38.65896763,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51153,"Prince William County"
"206","Prince William Ambulatory Surgical Center","8644 Sudley Road, Suite 201","Manassas","20110",-77.48946794,38.76786788,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51683,"Manassas City"
"207","Southern Gastroenterology Endoscopy Center","149 Aubreys Loop","South Boston","24592",-78.89422969,36.7172833,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51083,"Halifax County"
"208","Southpark Heart & Rhythm Center, LLC","445 Charles H Dimmock Pkwy","Colonial Heights","23834",-77.38268931,37.25154041,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51570,"Colonial Heights City"
"209","Vascular Surgery Associates - Vascular Center","6031 Staples Mill Road","Richmond","23228",-77.49473733,37.60852435,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"210","VCS Heart and Vascular Center, LLC","8007 Discovery Dr Ste B","Richmond","23229",-77.54659745,37.60377044,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"211","VCU Medical Center - Pediatric Outpatient Surgery at Brook Road Pavilion","2924 Brook Road, Suite 3","Richmond","23220",-77.45044729,37.57089364,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51760,"Richmond City"
"212","Catawba Hospital","5525 / 5481 Catawba Hospital Dr","Catawba","24070",-80.10992572,37.3914283,"2025/10/20 00:00:00+00","DGS COVA Owned",51161,"Roanoke County"
"213","Commonwealth Center for Children & Adolescents","1301 Richmond Ave","Staunton","24401",-79.03498002,38.13202844,"2025/10/20 00:00:00+00","DGS COVA Owned",51790,"Staunton City"
"214","Central State Hospital","26317 W Washington St","Petersburg","23803-0030",-77.45101382,37.2098891,"2025/10/20 00:00:00+00","DGS COVA Owned",51053,"Dinwiddie County"
"215","Eastern State Hospital","1 Ashbury Ln / 4601 Ironbound Rd","Williamsburg","23188-2648",-76.73585673,37.29191018,"2025/10/20 00:00:00+00","DGS COVA Owned",51095,"James City County"
"216","Northern Virginia Mental Health Institute","3302 Gallows Rd","Falls Church","22042-3353",-77.23214441,38.857706,"2025/10/20 00:00:00+00","DGS COVA Owned",51059,"Fairfax County"
"217","Piedmont Geriatric Hospital","5001 E Patrick Henry Hwy","Burkeville","23922-0427",-78.17507701,37.19257143,"2025/10/20 00:00:00+00","DGS COVA Owned",51135,"Nottoway County"
"218","Southern Virginia Mental Health Institute","382 Taylor Dr","Danville","24541-4023",-79.41028284,36.5556329,"2025/10/20 00:00:00+00","DGS COVA Owned",51590,"Danville City"
"219","Southeastern Virginia Training Center","2100 Steppingstone Sq","Chesapeake","23320-2517",-76.22372303,36.79414183,"2025/10/20 00:00:00+00","DGS COVA Owned",51550,"Chesapeake City"
"220","Southwestern Virginia Mental Health Institute","340 Bagley Cir","Marion","24541-4023",-81.5113807,36.83309401,"2025/10/20 00:00:00+00","DGS COVA Owned",51173,"Smyth County"
"221","Virginia Center for Behavioral Rehabilitation","4901 Patrick Henry Hwy","Burkeville","23922-3454",-78.17753347,37.19433353,"2025/10/20 00:00:00+00","DGS COVA Owned",51135,"Nottoway County"
"222","Western State Hospital","103 Valley Center Dr","Staunton","24401-5080",-79.02716331,38.14217796,"2025/10/20 00:00:00+00","DGS COVA Owned",51790,"Staunton City"
"223","Hiram W. Davis Medical Center","110 Seventh Ave / 26317 W Washington St","Petersburg","23803-0030",-77.45412976,37.20503976,"2025/10/20 00:00:00+00","DGS COVA Owned",51053,"Dinwiddie County"
